anio,indicador,tamano_empresa,valor,indicador_std
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,6.36,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,25.74,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,18.19,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,25.1,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,6.69,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,23.53,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,18.03,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,11.44,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,1.53,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,24.04,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,9.87,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,78.37,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,34.21,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,40.08,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,77.49,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,23.2,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,5.77,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,26.32,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,22.1,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,22.13,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,4.06,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,25.69,pct_ventas_ecommerce_sobre_total_empresas_que_venden
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,22.13,pct_empresas_venden_web_apps
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_10_a_49,6.98,pct_empresas_venden_ecommerce
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,2.43,pct_ventas_ecommerce_sobre_total
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,27.99,pct_ventas_ecommerce_sobre_total_empresas_que_venden
