anio,indicador,tamano_empresa,valor
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,24.41
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,36.91
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,43.36
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,38.43
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,50.3
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,25.81
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,92.5
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,38.66
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,40.52
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,90.79
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,29.22
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,11.91
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,19.89
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,23.33
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,30.59
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,0.02
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,0.8
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,30.59
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,17.14
2015,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,3.34
2015,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,43.46
2015,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,13.87
2015,K.1 % de empresas que han realizado ventas por comercio electrónico,de_250_y_mas,14.89
