fecha,interes_trends,marca,categoria_producto,termino_busqueda
2016-04-01,36,Massimo Dutti,vestidos,massimo dutti vestidos
2016-04-01,65,Massimo Dutti,zapatos,massimo dutti zapatos
2016-04-01,0,Shein,pantalones,shein pantalones
2016-04-01,0,Shein,tops,shein tops
2016-04-01,6,Shein,vestidos,shein vestidos
2016-04-01,0,Shein,zapatos,shein zapatos
2016-04-01,41,Zara,pantalones,zara pantalones
2016-04-01,27,Zara,tops,zara tops
2016-04-01,52,Zara,vestidos,zara vestidos
2016-04-01,91,Zara,zapatos,zara zapatos
2016-05-01,50,H&M,pantalones,h&m pantalones
2016-05-01,47,H&M,tops,h&m tops
2016-05-01,61,H&M,vestidos,h&m vestidos
2016-05-01,75,H&M,zapatos,h&m zapatos
2016-05-01,39,Mango,pantalones,mango pantalones
2016-05-01,42,Mango,tops,mango tops
2016-05-01,49,Mango,vestidos,mango vestidos
2016-05-01,100,Mango,zapatos,mango zapatos
2016-05-01,32,Massimo Dutti,pantalones,massimo dutti pantalones
2016-05-01,0,Massimo Dutti,tops,massimo dutti tops
2016-05-01,34,Massimo Dutti,vestidos,massimo dutti vestidos
2016-05-01,80,Massimo Dutti,zapatos,massimo dutti zapatos
2016-05-01,0,Shein,pantalones,shein pantalones
2016-05-01,0,Shein,tops,shein tops
2016-05-01,3,Shein,vestidos,shein vestidos
2016-05-01,3,Shein,zapatos,shein zapatos
2016-05-01,45,Zara,pantalones,zara pantalones
2016-05-01,38,Zara,tops,zara tops
2016-05-01,50,Zara,vestidos,zara vestidos
2016-05-01,95,Zara,zapatos,zara zapatos
2016-06-01,49,H&M,pantalones,h&m pantalones
2016-06-01,52,H&M,tops,h&m tops
2016-06-01,56,H&M,vestidos,h&m vestidos
2016-06-01,76,H&M,zapatos,h&m zapatos
2016-06-01,44,Mango,pantalones,mango pantalones
2016-06-01,45,Mango,tops,mango tops
2016-06-01,44,Mango,vestidos,mango vestidos
2016-06-01,75,Mango,zapatos,mango zapatos
2016-06-01,28,Massimo Dutti,pantalones,massimo dutti pantalones
2016-06-01,0,Massimo Dutti,tops,massimo dutti tops
2016-06-01,31,Massimo Dutti,vestidos,massimo dutti vestidos
2016-06-01,63,Massimo Dutti,zapatos,massimo dutti zapatos
2016-06-01,0,Shein,pantalones,shein pantalones
2016-06-01,0,Shein,tops,shein tops
2016-06-01,2,Shein,vestidos,shein vestidos
2016-06-01,0,Shein,zapatos,shein zapatos
2016-06-01,39,Zara,pantalones,zara pantalones
2016-06-01,29,Zara,tops,zara tops
2016-06-01,45,Zara,vestidos,zara vestidos
2016-06-01,80,Zara,zapatos,zara zapatos
2016-07-01,37,H&M,pantalones,h&m pantalones
2016-07-01,49,H&M,tops,h&m tops
2016-07-01,49,H&M,vestidos,h&m vestidos
2016-07-01,38,H&M,zapatos,h&m zapatos
2016-07-01,28,Mango,pantalones,mango pantalones
2016-07-01,42,Mango,tops,mango tops
2016-07-01,41,Mango,vestidos,mango vestidos
2016-07-01,61,Mango,zapatos,mango zapatos
2016-07-01,16,Massimo Dutti,pantalones,massimo dutti pantalones
2016-07-01,0,Massimo Dutti,tops,massimo dutti tops
2016-07-01,32,Massimo Dutti,vestidos,massimo dutti vestidos
2016-07-01,63,Massimo Dutti,zapatos,massimo dutti zapatos
2016-07-01,0,Shein,pantalones,shein pantalones
2016-07-01,0,Shein,tops,shein tops
2016-07-01,2,Shein,vestidos,shein vestidos
2016-07-01,0,Shein,zapatos,shein zapatos
2016-07-01,31,Zara,pantalones,zara pantalones
2016-07-01,30,Zara,tops,zara tops
2016-07-01,44,Zara,vestidos,zara vestidos
2016-07-01,60,Zara,zapatos,zara zapatos
2016-08-01,29,H&M,pantalones,h&m pantalones
2016-08-01,0,H&M,tops,h&m tops
2016-08-01,33,H&M,vestidos,h&m vestidos
2016-08-01,36,H&M,zapatos,h&m zapatos
2016-08-01,21,Mango,pantalones,mango pantalones
2016-08-01,23,Mango,tops,mango tops
2016-08-01,28,Mango,vestidos,mango vestidos
2016-08-01,47,Mango,zapatos,mango zapatos
2016-08-01,17,Massimo Dutti,pantalones,massimo dutti pantalones
2016-08-01,0,Massimo Dutti,tops,massimo dutti tops
2016-08-01,20,Massimo Dutti,vestidos,massimo dutti vestidos
2016-08-01,33,Massimo Dutti,zapatos,massimo dutti zapatos
2016-08-01,0,Shein,pantalones,shein pantalones
2016-08-01,0,Shein,tops,shein tops
2016-08-01,3,Shein,vestidos,shein vestidos
2016-08-01,0,Shein,zapatos,shein zapatos
2016-08-01,22,Zara,pantalones,zara pantalones
2016-08-01,27,Zara,tops,zara tops
2016-08-01,31,Zara,vestidos,zara vestidos
2016-08-01,48,Zara,zapatos,zara zapatos
2016-09-01,33,H&M,pantalones,h&m pantalones
2016-09-01,0,H&M,tops,h&m tops
2016-09-01,32,H&M,vestidos,h&m vestidos
2016-09-01,65,H&M,zapatos,h&m zapatos
2016-09-01,32,Mango,pantalones,mango pantalones
2016-09-01,18,Mango,tops,mango tops
2016-09-01,32,Mango,vestidos,mango vestidos
2016-09-01,66,Mango,zapatos,mango zapatos
2016-09-01,24,Massimo Dutti,pantalones,massimo dutti pantalones
2016-09-01,0,Massimo Dutti,tops,massimo dutti tops
2016-09-01,22,Massimo Dutti,vestidos,massimo dutti vestidos
2016-09-01,62,Massimo Dutti,zapatos,massimo dutti zapatos
2016-09-01,0,Shein,pantalones,shein pantalones
2016-09-01,0,Shein,tops,shein tops
2016-09-01,3,Shein,vestidos,shein vestidos
2016-09-01,3,Shein,zapatos,shein zapatos
2016-09-01,31,Zara,pantalones,zara pantalones
2016-09-01,21,Zara,tops,zara tops
2016-09-01,35,Zara,vestidos,zara vestidos
2016-09-01,75,Zara,zapatos,zara zapatos
2016-10-01,49,H&M,pantalones,h&m pantalones
2016-10-01,0,H&M,tops,h&m tops
2016-10-01,35,H&M,vestidos,h&m vestidos
2016-10-01,76,H&M,zapatos,h&m zapatos
2016-10-01,40,Mango,pantalones,mango pantalones
2016-10-01,18,Mango,tops,mango tops
2016-10-01,27,Mango,vestidos,mango vestidos
2016-10-01,80,Mango,zapatos,mango zapatos
2016-10-01,39,Massimo Dutti,pantalones,massimo dutti pantalones
2016-10-01,0,Massimo Dutti,tops,massimo dutti tops
2016-10-01,23,Massimo Dutti,vestidos,massimo dutti vestidos
2016-10-01,83,Massimo Dutti,zapatos,massimo dutti zapatos
2016-10-01,5,Shein,pantalones,shein pantalones
2016-10-01,0,Shein,tops,shein tops
2016-10-01,5,Shein,vestidos,shein vestidos
2016-10-01,4,Shein,zapatos,shein zapatos
2016-10-01,43,Zara,pantalones,zara pantalones
2016-10-01,20,Zara,tops,zara tops
2016-10-01,36,Zara,vestidos,zara vestidos
2016-10-01,100,Zara,zapatos,zara zapatos
2016-11-01,43,H&M,pantalones,h&m pantalones
2016-11-01,0,H&M,tops,h&m tops
2016-11-01,46,H&M,vestidos,h&m vestidos
2016-11-01,71,H&M,zapatos,h&m zapatos
2016-11-01,44,Mango,pantalones,mango pantalones
2016-11-01,34,Mango,tops,mango tops
2016-11-01,37,Mango,vestidos,mango vestidos
2016-11-01,74,Mango,zapatos,mango zapatos
2016-11-01,41,Massimo Dutti,pantalones,massimo dutti pantalones
2016-11-01,0,Massimo Dutti,tops,massimo dutti tops
2016-11-01,27,Massimo Dutti,vestidos,massimo dutti vestidos
2016-11-01,88,Massimo Dutti,zapatos,massimo dutti zapatos
2016-11-01,0,Shein,pantalones,shein pantalones
2016-11-01,0,Shein,tops,shein tops
2016-11-01,4,Shein,vestidos,shein vestidos
2016-11-01,3,Shein,zapatos,shein zapatos
2016-11-01,43,Zara,pantalones,zara pantalones
2016-11-01,28,Zara,tops,zara tops
2016-11-01,45,Zara,vestidos,zara vestidos
2016-11-01,79,Zara,zapatos,zara zapatos
2016-12-01,43,H&M,pantalones,h&m pantalones
2016-12-01,71,H&M,tops,h&m tops
2016-12-01,64,H&M,vestidos,h&m vestidos
2016-12-01,73,H&M,zapatos,h&m zapatos
2016-12-01,41,Mango,pantalones,mango pantalones
2016-12-01,50,Mango,tops,mango tops
2016-12-01,46,Mango,vestidos,mango vestidos
2016-12-01,61,Mango,zapatos,mango zapatos
2016-12-01,38,Massimo Dutti,pantalones,massimo dutti pantalones
2016-12-01,0,Massimo Dutti,tops,massimo dutti tops
2016-12-01,29,Massimo Dutti,vestidos,massimo dutti vestidos
2016-12-01,67,Massimo Dutti,zapatos,massimo dutti zapatos
2016-12-01,0,Shein,pantalones,shein pantalones
2016-12-01,0,Shein,tops,shein tops
2016-12-01,4,Shein,vestidos,shein vestidos
2016-12-01,3,Shein,zapatos,shein zapatos
2016-12-01,45,Zara,pantalones,zara pantalones
2016-12-01,41,Zara,tops,zara tops
2016-12-01,53,Zara,vestidos,zara vestidos
2016-12-01,73,Zara,zapatos,zara zapatos
2017-01-01,28,H&M,pantalones,h&m pantalones
2017-01-01,0,H&M,tops,h&m tops
2017-01-01,23,H&M,vestidos,h&m vestidos
2017-01-01,51,H&M,zapatos,h&m zapatos
2017-01-01,36,Mango,pantalones,mango pantalones
2017-01-01,15,Mango,tops,mango tops
2017-01-01,29,Mango,vestidos,mango vestidos
2017-01-01,55,Mango,zapatos,mango zapatos
2017-01-01,40,Massimo Dutti,pantalones,massimo dutti pantalones
2017-01-01,0,Massimo Dutti,tops,massimo dutti tops
2017-01-01,27,Massimo Dutti,vestidos,massimo dutti vestidos
2017-01-01,81,Massimo Dutti,zapatos,massimo dutti zapatos
2017-01-01,0,Shein,pantalones,shein pantalones
2017-01-01,0,Shein,tops,shein tops
2017-01-01,3,Shein,vestidos,shein vestidos
2017-01-01,2,Shein,zapatos,shein zapatos
2017-01-01,37,Zara,pantalones,zara pantalones
2017-01-01,14,Zara,tops,zara tops
2017-01-01,31,Zara,vestidos,zara vestidos
2017-01-01,67,Zara,zapatos,zara zapatos
2017-02-01,24,H&M,pantalones,h&m pantalones
2017-02-01,0,H&M,tops,h&m tops
2017-02-01,28,H&M,vestidos,h&m vestidos
2017-02-01,52,H&M,zapatos,h&m zapatos
