fecha,marca,valor_trends,n_posts,engagement_total
2022-02-01,massimo_dutti,37.0,0.0,0.0
2022-02-01,shein,44.25,0.0,0.0
2022-02-01,zara,50.0,0.0,0.0
2022-03-01,hm,35.0,0.0,0.0
2022-03-01,mango,43.0,0.0,0.0
2022-03-01,massimo_dutti,34.0,0.0,0.0
2022-03-01,shein,44.5,0.0,0.0
2022-03-01,zara,49.25,0.0,0.0
2022-04-01,hm,44.0,0.0,0.0
2022-04-01,mango,48.0,0.0,0.0
2022-04-01,massimo_dutti,36.0,0.0,0.0
2022-04-01,shein,52.75,0.0,0.0
2022-04-01,zara,57.25,0.0,0.0
2022-05-01,hm,46.0,0.0,0.0
2022-05-01,mango,54.2,0.0,0.0
2022-05-01,massimo_dutti,44.0,0.0,0.0
2022-05-01,shein,82.4,0.0,0.0
2022-05-01,zara,58.6,0.0,0.0
2022-06-01,hm,44.0,0.0,0.0
2022-06-01,mango,55.0,0.0,0.0
2022-06-01,massimo_dutti,43.0,0.0,0.0
2022-06-01,shein,79.25,0.0,0.0
2022-06-01,zara,63.75,0.0,0.0
2022-07-01,hm,40.0,0.0,0.0
2022-07-01,mango,43.8,0.0,0.0
2022-07-01,massimo_dutti,43.0,0.0,0.0
2022-07-01,shein,63.0,0.0,0.0
2022-07-01,zara,53.2,0.0,0.0
2022-08-01,hm,33.0,0.0,0.0
2022-08-01,mango,39.5,0.0,0.0
2022-08-01,massimo_dutti,34.0,0.0,0.0
2022-08-01,shein,55.0,0.0,0.0
2022-08-01,zara,47.75,0.0,0.0
2022-09-01,hm,38.0,0.0,0.0
2022-09-01,mango,47.25,0.0,0.0
2022-09-01,massimo_dutti,35.0,0.0,0.0
2022-09-01,shein,55.0,0.0,0.0
2022-09-01,zara,53.25,0.0,0.0
2022-10-01,hm,43.0,0.0,0.0
2022-10-01,mango,50.4,0.0,0.0
2022-10-01,massimo_dutti,32.0,0.0,0.0
2022-10-01,shein,54.8,0.0,0.0
2022-10-01,zara,53.8,0.0,0.0
2022-11-01,hm,50.0,0.0,0.0
2022-11-01,mango,70.0,0.0,0.0
2022-11-01,massimo_dutti,47.0,0.0,0.0
2022-11-01,shein,64.0,0.0,0.0
2022-11-01,zara,71.0,0.0,0.0
2022-12-01,hm,50.0,0.0,0.0
2022-12-01,mango,61.0,0.0,0.0
2022-12-01,massimo_dutti,42.0,0.0,0.0
2022-12-01,shein,50.0,0.0,0.0
