anio,indicador,tamano_empresa,n_filas_conflictivas,valores_distintos,decision,archivo
2018,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_10_a_49,17,"[15.24, 11.53, 17.32, 9.12, 5.19, 9.45, 4.81, 2.24, 20.13, 21.38, 10.92, 87.77, 2.19, 11.09, 8.14, 10.53, 1.62]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
2018,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_250_y_mas,17,"[26.02, 16.03, 21.01, 19.42, 10.01, 12.64, 11.77, 0.0, 32.22, 49.65, 37.02, 96.16, 22.16, 31.94, 0.2, 0.99, 22.28]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
2018,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,de_50_a_249,17,"[2.09, 15.17, 24.77, 13.55, 8.34, 0.1, 5.59, 2.52, 26.46, 28.62, 20.06, 90.29, 17.94, 20.52, 9.83, 13.56, 8.35]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
2018,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,17,"[16.35, 12.29, 18.52, 10.59, 5.75, 9.67, 5.46, 2.25, 21.41, 22.82, 12.82, 88.55, 21.14, 12.16, 8.75, 11.07, 14.92]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
2018,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_10_a_49,17,"[0.54, 3.94, 6.23, 1.09, 2.86, 4.05, 2.13, 0.37, 6.85, 0.66, 3.09, 46.63, 3.23, 2.87, 0.91, 7.94, 4.12]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
2018,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_250_y_mas,17,"[25.03, 31.95, 29.04, 4.08, 14.94, 37.69, 20.85, 0.91, 19.88, 19.85, 34.04, 50.67, 15.27, 1.92, 5.01, 15.35, 22.73]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
2018,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,de_50_a_249,17,"[13.18, 13.27, 17.55, 0.85, 10.93, 1.72, 3.19, 0.19, 14.37, 15.43, 9.49, 43.57, 7.49, 0.35, 1.18, 3.12, 6.83]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
2018,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,17,"[17.31, 22.64, 18.79, 3.02, 9.54, 29.92, 16.63, 0.46, 1.49, 14.71, 20.78, 46.95, 11.74, 2.74, 2.55, 18.19, 16.78]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
2018,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_10_a_49,17,"[25.01, 23.52, 21.52, 13.39, 30.92, 28.31, 33.41, 0.13, 25.64, 22.94, 23.97, 49.75, 16.93, 23.34, 8.76, 33.85, 32.23]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
2018,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_250_y_mas,17,"[41.56, 58.61, 45.43, 72.01, 32.33, 65.14, 47.59, 23.28, 29.18, 25.03, 45.87, 52.47, 24.04, 11.46, 35.66, 40.03, 32.61]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
2018,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,de_50_a_249,17,"[38.65, 36.48, 34.09, 29.36, 45.68, 49.29, 24.13, 9.26, 40.35, 37.01, 3.36, 46.48, 30.22, 21.18, 26.17, 70.82, 45.71]",conservar_primer_valor_no_nulo,comercio_electronico2018.xlsx
