term,coef
hair stylist,-0.5531809840184073
design,-0.5586121574891719
discover collection,-0.5601391449983704
styles,-0.5613454416847726
youtube,-0.5688562420534589
wear,-0.5705168059064718
editor,-0.572784196791783
icon,-0.593714910208817
swipe,-0.5951381385301141
photographer stylist,-0.5969985175628566
necklace,-0.6102461548964409
dressing,-0.6192752055470254
haul,-0.6284603044744893
worn,-0.6327473981113348
hair,-0.635291524688233
featuring,-0.6377058643292997
start,-0.6456474801537931
real,-0.6512310918467376
coat,-0.6532409691384549
sandals,-0.6535701943781559
too,-0.6656407165715373
language,-0.6747535521063169
time,-0.6802509734203267
fashion editor,-0.6982841678516927
accompany,-0.6986100194136325
search,-0.7069569543552602
tones,-0.7079519912498935
street,-0.7114775779478646
never,-0.7179464326535994
collection mango,-0.7183239424703809
bold,-0.7217337327921587
picks,-0.7327401068587712
swim,-0.7478579004638937
being,-0.7514081662959412
paris,-0.7518174788402551
about,-0.7548901379396259
com jacket,-0.7611327482513505
store,-0.7774609059995665
days,-0.7792529927742896
latest,-0.7820320662285163
art,-0.7866720916054746
find,-0.7892733743333717
check,-0.7912621664436266
today,-0.8078481950786206
event,-0.8107329989777227
touch,-0.8131842904941063
unique,-0.8154856262256137
weather,-0.8294243607677788
stylist make,-0.8343135395598014
there,-0.8360114389735551
summer collection,-0.8370080442222803
trends,-0.8443778811597525
available mango,-0.847255530028352
into,-0.8499361591766651
com dress,-0.8535142996702317
studio,-0.8707115785571714
stores,-0.8898384854246979
look,-0.9314347921616475
artist,-0.9355962252315887
winter,-0.9382789112843342
explore,-0.9630205650585474
journey,-0.9953170717276902
details,-1.0659095190925056
ready,-1.0678426701717243
behind,-1.0686192644171875
dress,-1.0695059766283
shoes,-1.0833265288248943
starring photographer,-1.085349469558109
make artist,-1.0916260358700913
make,-1.0992775108321722
feels,-1.1083429202608597
elevated,-1.1641910575411536
light,-1.1723419858599848
looks,-1.1728221159584118
everyday,-1.1738674576038826
holiday,-1.1786691965166987
modern,-1.1907644548562228
black,-1.2212306310310255
online,-1.222449587273507
trousers,-1.2246195199363028
moves,-1.2467704713934864
cozy,-1.347175378145068
mango,-1.3716847245259636
everything,-1.4347680314469449
style,-1.6619879245035305
discover,-2.047973699601037
com,-2.3130468072179853
mango com,-2.6012736186231833
starring,-3.5945581594182108
