fecha,valor_trends,marca,categoria_producto,termino_busqueda,anio,mes_num
2016-06-01,2,shein,vestidos,shein vestidos,2016,6
2016-06-01,0,shein,zapatos,shein zapatos,2016,6
2016-06-01,39,zara,pantalones,zara pantalones,2016,6
2016-06-01,29,zara,tops,zara tops,2016,6
2016-06-01,45,zara,vestidos,zara vestidos,2016,6
2016-06-01,80,zara,zapatos,zara zapatos,2016,6
2016-07-01,37,hm,pantalones,h&m pantalones,2016,7
2016-07-01,49,hm,tops,h&m tops,2016,7
2016-07-01,49,hm,vestidos,h&m vestidos,2016,7
2016-07-01,38,hm,zapatos,h&m zapatos,2016,7
2016-07-01,28,mango,pantalones,mango pantalones,2016,7
2016-07-01,42,mango,tops,mango tops,2016,7
2016-07-01,41,mango,vestidos,mango vestidos,2016,7
2016-07-01,61,mango,zapatos,mango zapatos,2016,7
2016-07-01,16,massimo_dutti,pantalones,massimo dutti pantalones,2016,7
2016-07-01,0,massimo_dutti,tops,massimo dutti tops,2016,7
2016-07-01,32,massimo_dutti,vestidos,massimo dutti vestidos,2016,7
2016-07-01,63,massimo_dutti,zapatos,massimo dutti zapatos,2016,7
2016-07-01,0,shein,pantalones,shein pantalones,2016,7
2016-07-01,0,shein,tops,shein tops,2016,7
2016-07-01,2,shein,vestidos,shein vestidos,2016,7
2016-07-01,0,shein,zapatos,shein zapatos,2016,7
2016-07-01,31,zara,pantalones,zara pantalones,2016,7
2016-07-01,30,zara,tops,zara tops,2016,7
2016-07-01,44,zara,vestidos,zara vestidos,2016,7
2016-07-01,60,zara,zapatos,zara zapatos,2016,7
2016-08-01,29,hm,pantalones,h&m pantalones,2016,8
2016-08-01,0,hm,tops,h&m tops,2016,8
2016-08-01,33,hm,vestidos,h&m vestidos,2016,8
2016-08-01,36,hm,zapatos,h&m zapatos,2016,8
2016-08-01,21,mango,pantalones,mango pantalones,2016,8
2016-08-01,23,mango,tops,mango tops,2016,8
2016-08-01,28,mango,vestidos,mango vestidos,2016,8
2016-08-01,47,mango,zapatos,mango zapatos,2016,8
2016-08-01,17,massimo_dutti,pantalones,massimo dutti pantalones,2016,8
2016-08-01,0,massimo_dutti,tops,massimo dutti tops,2016,8
2016-08-01,20,massimo_dutti,vestidos,massimo dutti vestidos,2016,8
2016-08-01,33,massimo_dutti,zapatos,massimo dutti zapatos,2016,8
2016-08-01,0,shein,pantalones,shein pantalones,2016,8
2016-08-01,0,shein,tops,shein tops,2016,8
2016-08-01,3,shein,vestidos,shein vestidos,2016,8
2016-08-01,0,shein,zapatos,shein zapatos,2016,8
2016-08-01,22,zara,pantalones,zara pantalones,2016,8
2016-08-01,27,zara,tops,zara tops,2016,8
2016-08-01,31,zara,vestidos,zara vestidos,2016,8
2016-08-01,48,zara,zapatos,zara zapatos,2016,8
2016-09-01,33,hm,pantalones,h&m pantalones,2016,9
2016-09-01,0,hm,tops,h&m tops,2016,9
2016-09-01,32,hm,vestidos,h&m vestidos,2016,9
2016-09-01,65,hm,zapatos,h&m zapatos,2016,9
2016-09-01,32,mango,pantalones,mango pantalones,2016,9
2016-09-01,18,mango,tops,mango tops,2016,9
2016-09-01,32,mango,vestidos,mango vestidos,2016,9
2016-09-01,66,mango,zapatos,mango zapatos,2016,9
2016-09-01,24,massimo_dutti,pantalones,massimo dutti pantalones,2016,9
2016-09-01,0,massimo_dutti,tops,massimo dutti tops,2016,9
2016-09-01,22,massimo_dutti,vestidos,massimo dutti vestidos,2016,9
2016-09-01,62,massimo_dutti,zapatos,massimo dutti zapatos,2016,9
2016-09-01,0,shein,pantalones,shein pantalones,2016,9
2016-09-01,0,shein,tops,shein tops,2016,9
2016-09-01,3,shein,vestidos,shein vestidos,2016,9
2016-09-01,3,shein,zapatos,shein zapatos,2016,9
2016-09-01,31,zara,pantalones,zara pantalones,2016,9
2016-09-01,21,zara,tops,zara tops,2016,9
2016-09-01,35,zara,vestidos,zara vestidos,2016,9
2016-09-01,75,zara,zapatos,zara zapatos,2016,9
2016-10-01,49,hm,pantalones,h&m pantalones,2016,10
2016-10-01,0,hm,tops,h&m tops,2016,10
2016-10-01,35,hm,vestidos,h&m vestidos,2016,10
2016-10-01,76,hm,zapatos,h&m zapatos,2016,10
2016-10-01,40,mango,pantalones,mango pantalones,2016,10
2016-10-01,18,mango,tops,mango tops,2016,10
2016-10-01,27,mango,vestidos,mango vestidos,2016,10
2016-10-01,80,mango,zapatos,mango zapatos,2016,10
2016-10-01,39,massimo_dutti,pantalones,massimo dutti pantalones,2016,10
2016-10-01,0,massimo_dutti,tops,massimo dutti tops,2016,10
2016-10-01,23,massimo_dutti,vestidos,massimo dutti vestidos,2016,10
2016-10-01,83,massimo_dutti,zapatos,massimo dutti zapatos,2016,10
2016-10-01,5,shein,pantalones,shein pantalones,2016,10
2016-10-01,0,shein,tops,shein tops,2016,10
2016-10-01,5,shein,vestidos,shein vestidos,2016,10
2016-10-01,4,shein,zapatos,shein zapatos,2016,10
2016-10-01,43,zara,pantalones,zara pantalones,2016,10
2016-10-01,20,zara,tops,zara tops,2016,10
2016-10-01,36,zara,vestidos,zara vestidos,2016,10
2016-10-01,100,zara,zapatos,zara zapatos,2016,10
2016-11-01,43,hm,pantalones,h&m pantalones,2016,11
2016-11-01,0,hm,tops,h&m tops,2016,11
2016-11-01,46,hm,vestidos,h&m vestidos,2016,11
2016-11-01,71,hm,zapatos,h&m zapatos,2016,11
2016-11-01,44,mango,pantalones,mango pantalones,2016,11
2016-11-01,34,mango,tops,mango tops,2016,11
