fecha,termino,valor_trends,anio,mes_num,grupo,valor_cero_trends
2022-02-01,old money,13.5,2022,2,sofisticado,False
2022-03-01,old money,29.75,2022,3,sofisticado,False
2022-04-01,old money,41.25,2022,4,sofisticado,False
2022-05-01,old money,35.4,2022,5,sofisticado,False
2022-06-01,old money,59.75,2022,6,sofisticado,False
2022-07-01,old money,61.8,2022,7,sofisticado,False
2022-08-01,old money,87.25,2022,8,sofisticado,False
2022-09-01,old money,64.5,2022,9,sofisticado,False
2022-10-01,old money,65.2,2022,10,sofisticado,False
2022-11-01,old money,59.75,2022,11,sofisticado,False
2022-12-01,old money,63.0,2022,12,sofisticado,False
2023-01-01,old money,30.8,2023,1,sofisticado,False
2023-02-01,old money,34.0,2023,2,sofisticado,False
2023-03-01,old money,34.25,2023,3,sofisticado,False
2023-04-01,old money,53.6,2023,4,sofisticado,False
2023-05-01,old money,59.5,2023,5,sofisticado,False
2023-06-01,old money,75.75,2023,6,sofisticado,False
2023-07-01,old money,69.8,2023,7,sofisticado,False
2023-08-01,old money,88.0,2023,8,sofisticado,False
2023-09-01,old money,72.5,2023,9,sofisticado,False
2023-10-01,old money,69.8,2023,10,sofisticado,False
2023-11-01,old money,68.75,2023,11,sofisticado,False
2023-12-01,old money,67.8,2023,12,sofisticado,False
2024-01-01,old money,43.25,2024,1,sofisticado,False
2024-02-01,old money,43.25,2024,2,sofisticado,False
2024-03-01,old money,47.4,2024,3,sofisticado,False
2024-04-01,old money,47.25,2024,4,sofisticado,False
2024-05-01,old money,51.0,2024,5,sofisticado,False
2024-06-01,old money,52.6,2024,6,sofisticado,False
2024-07-01,old money,56.0,2024,7,sofisticado,False
2024-08-01,old money,91.0,2024,8,sofisticado,False
2024-09-01,old money,77.6,2024,9,sofisticado,False
2024-10-01,old money,70.75,2024,10,sofisticado,False
2024-11-01,old money,61.75,2024,11,sofisticado,False
2024-12-01,old money,59.8,2024,12,sofisticado,False
2025-01-01,old money,,2025,1,sofisticado,False
2025-02-01,old money,,2025,2,sofisticado,False
2025-03-01,old money,,2025,3,sofisticado,False
2025-04-01,old money,,2025,4,sofisticado,False
2025-05-01,old money,,2025,5,sofisticado,False
2025-06-01,old money,,2025,6,sofisticado,False
2025-07-01,old money,,2025,7,sofisticado,False
2025-08-01,old money,,2025,8,sofisticado,False
2025-09-01,old money,,2025,9,sofisticado,False
2025-10-01,old money,,2025,10,sofisticado,False
2025-11-01,old money,,2025,11,sofisticado,False
2025-12-01,old money,,2025,12,sofisticado,False
2014-12-01,moda preppy,,2014,12,sofisticado,False
2015-01-01,moda preppy,,2015,1,sofisticado,False
2015-02-01,moda preppy,,2015,2,sofisticado,False
2015-03-01,moda preppy,,2015,3,sofisticado,False
2015-04-01,moda preppy,,2015,4,sofisticado,False
2015-05-01,moda preppy,,2015,5,sofisticado,False
2015-06-01,moda preppy,,2015,6,sofisticado,False
2015-07-01,moda preppy,,2015,7,sofisticado,False
2015-08-01,moda preppy,,2015,8,sofisticado,False
2015-09-01,moda preppy,,2015,9,sofisticado,False
2015-10-01,moda preppy,,2015,10,sofisticado,False
2015-11-01,moda preppy,,2015,11,sofisticado,False
2015-12-01,moda preppy,,2015,12,sofisticado,False
2016-01-01,moda preppy,,2016,1,sofisticado,False
2016-02-01,moda preppy,,2016,2,sofisticado,False
2016-03-01,moda preppy,,2016,3,sofisticado,False
2016-04-01,moda preppy,,2016,4,sofisticado,False
2016-05-01,moda preppy,,2016,5,sofisticado,False
2016-06-01,moda preppy,,2016,6,sofisticado,False
2016-07-01,moda preppy,,2016,7,sofisticado,False
2016-08-01,moda preppy,,2016,8,sofisticado,False
2016-09-01,moda preppy,,2016,9,sofisticado,False
2016-10-01,moda preppy,,2016,10,sofisticado,False
2016-11-01,moda preppy,,2016,11,sofisticado,False
2016-12-01,moda preppy,,2016,12,sofisticado,False
2017-01-01,moda preppy,,2017,1,sofisticado,False
2017-02-01,moda preppy,,2017,2,sofisticado,False
2017-03-01,moda preppy,,2017,3,sofisticado,False
2017-04-01,moda preppy,,2017,4,sofisticado,False
2017-05-01,moda preppy,,2017,5,sofisticado,False
2017-06-01,moda preppy,,2017,6,sofisticado,False
2017-07-01,moda preppy,,2017,7,sofisticado,False
2017-08-01,moda preppy,,2017,8,sofisticado,False
