_fase,fecha,valor_raw,flag,tipo,valor_indice,fuente,indicador,provisional
DESPUES,2012-12-01 00:00:00,,,,93.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2013-01-01 00:00:00,,,,93.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2013-02-01 00:00:00,,,,92.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2013-03-01 00:00:00,,,,91.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2013-04-01 00:00:00,,,,92.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2013-05-01 00:00:00,,,,91.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2013-06-01 00:00:00,,,,94.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2013-07-01 00:00:00,,,,94.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2013-08-01 00:00:00,,,,96.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2013-09-01 00:00:00,,,,94.4,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2013-10-01 00:00:00,,,,92.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2013-11-01 00:00:00,,,,96.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2013-12-01 00:00:00,,,,93.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2014-01-01 00:00:00,,,,94.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2014-02-01 00:00:00,,,,96.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2014-03-01 00:00:00,,,,95.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2014-04-01 00:00:00,,,,98.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2014-05-01 00:00:00,,,,96.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2014-06-01 00:00:00,,,,96.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2014-07-01 00:00:00,,,,95.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2014-08-01 00:00:00,,,,97.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2014-09-01 00:00:00,,,,95.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2014-10-01 00:00:00,,,,94.0,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2014-11-01 00:00:00,,,,97.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2014-12-01 00:00:00,,,,99.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2015-01-01 00:00:00,,,,98.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2015-02-01 00:00:00,,,,98.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2015-03-01 00:00:00,,,,99.6,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2015-04-01 00:00:00,,,,98.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2015-05-01 00:00:00,,,,101.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2015-06-01 00:00:00,,,,97.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2015-07-01 00:00:00,,,,99.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2015-08-01 00:00:00,,,,99.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2015-09-01 00:00:00,,,,102.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2015-10-01 00:00:00,,,,103.2,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2015-11-01 00:00:00,,,,99.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2015-12-01 00:00:00,,,,100.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2016-01-01 00:00:00,,,,101.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
