fecha,anio,mes_num,marca,valor_trends,plataforma,n_posts,likes_totales,comentarios_totales,engagement_total,likes_medios_post,comentarios_medios_post,engagement_medio_post,n_eventos_total,n_plataformas,n_tipos_evento
2017-01-01,2017,1,mango,51.2,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,2017,2,mango,34.75,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2017-03-01,2017,3,mango,37.25,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,2017,4,mango,38.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2017-05-01,2017,5,mango,39.75,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,2017,6,mango,47.25,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,2017,7,mango,39.2,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,2017,8,mango,35.75,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,2017,9,mango,41.25,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,2017,10,mango,40.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,2017,11,mango,65.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,2017,12,mango,51.2,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,2018,1,mango,42.25,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,2018,2,mango,33.25,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,2018,3,mango,34.25,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,2018,4,mango,39.4,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,2018,5,mango,36.25,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,2018,6,mango,41.75,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
