order,seasonal_order,aic,bic,mae,rmse,mape
"(0, 1, 2)","(1, 0, 1, 12)",614.4523918176591,626.3625249910285,18.15257659156447,20.49313232326204,14.753310666877075
"(0, 1, 2)","(1, 1, 0, 12)",574.9214224893061,583.9721419974713,10.789324241388206,14.39807925429622,8.613377567121388
"(0, 1, 2)","(1, 1, 1, 12)",543.1953765450661,554.2929150709466,22.750174471143122,26.418872031667437,18.4158641264506
"(1, 0, 0)","(0, 0, 0, 12)",714.2251942075083,719.3329479907094,18.43977665890948,20.43683335046506,15.042526852761407
"(1, 0, 0)","(0, 0, 1, 12)",636.9874696363801,644.2439914597699,19.455438318523747,21.424713468584663,15.894566862068304
"(1, 0, 0)","(0, 1, 0, 12)",682.0082155178038,686.845896733397,17.462740856809415,18.7197719351908,14.448353744784665
"(1, 0, 0)","(0, 1, 1, 12)",558.624005135649,565.412044766773,22.464949217618283,25.233243659691187,18.287466888705126
"(1, 0, 0)","(1, 0, 0, 12)",636.953762653812,644.2102844772018,19.40689610009148,21.398378333895597,15.850633209861165
"(1, 0, 0)","(1, 0, 1, 12)",644.5865997436441,654.2619621748305,32.2607886664697,34.14191876408934,26.612080932022096
"(1, 0, 0)","(1, 1, 0, 12)",577.605740902926,584.3937805340499,22.246459748103195,23.428252858026948,18.344511313261073
"(1, 0, 0)","(1, 1, 1, 12)",560.6179399349907,569.6686594431559,22.472973026906057,25.24283425005313,18.29395411185653
"(1, 0, 1)","(0, 0, 0, 12)",707.9818364293845,715.6117207761946,18.200931395567867,20.185753985298692,14.854043068472725
"(1, 0, 1)","(0, 0, 1, 12)",630.727423812188,640.354300801245,19.200071843141846,21.157370907170193,15.694210564042093
"(1, 0, 1)","(0, 1, 0, 12)",667.1386138548795,674.3587715966722,18.147624711294952,19.510716895169967,15.0074793035293
"(1, 0, 1)","(0, 1, 1, 12)",547.359965090388,556.3539460585854,22.495554394472325,25.304837225380403,18.317836637625494
"(1, 0, 1)","(1, 0, 0, 12)",637.2786856030864,646.9540480342728,19.269923289604765,21.243354351446154,15.750024969246814
"(1, 0, 1)","(1, 0, 1, 12)",632.1135064865315,644.1471027228528,32.97294540842072,35.03254127941697,27.188393926962107
"(1, 0, 1)","(1, 1, 0, 12)",566.9311092296945,575.9818287378597,25.612571035019727,26.90094731130569,21.12946684937429
"(1, 0, 1)","(1, 1, 1, 12)",551.3854996899781,562.6279759002249,26.3279193977795,29.707722277645274,21.429379482340806
"(1, 0, 2)","(0, 0, 0, 12)",697.3751886759891,707.505586648602,19.15755683016501,21.261351752912212,15.618792037464937
"(1, 0, 2)","(0, 0, 1, 12)",621.065634054431,633.0378798277932,19.644349626702382,21.731089378861004,16.026506893119
"(1, 0, 2)","(0, 1, 0, 12)",662.0319033148568,671.6096999335465,18.221516855474402,19.598794884114103,15.067111915248566
"(1, 0, 2)","(0, 1, 1, 12)",541.5162826515432,552.6868151745294,23.018779567766785,25.956382055722106,18.736509774579126
"(1, 0, 2)","(1, 0, 0, 12)",634.1226201286253,646.2168231676083,19.676275588823216,21.773616080201105,16.051636288162506
"(1, 0, 2)","(1, 0, 1, 12)",626.7062521427907,641.0729470708254,32.797827143252235,34.996950381991574,27.01302507298632
"(1, 0, 2)","(1, 1, 0, 12)",568.6054913479784,579.918890733185,26.57646716905241,27.956820560001134,21.917193891514078
"(1, 0, 2)","(1, 1, 1, 12)",546.1091177976283,559.5137568252119,27.108615355242495,30.544475906369485,22.072641125122875
"(1, 1, 0)","(0, 0, 0, 12)",706.9900430927219,712.0766326572618,14.286980838342823,17.02633802242313,11.508422076777137
"(1, 1, 0)","(0, 0, 1, 12)",629.6789352619661,636.8990930037588,14.628910132581879,17.419705845632993,11.785813730589794
"(1, 1, 0)","(0, 1, 0, 12)",683.7311034937459,688.5445419882744,6.612533072808893,9.684907415228961,5.2714627206288
"(1, 1, 0)","(0, 1, 1, 12)",557.9063533520031,564.6518390781512,16.509857421395495,20.265295474522144,13.247323319430635
"(1, 1, 0)","(1, 0, 0, 12)",629.6279269631295,636.8480847049223,14.698149098716215,17.504825753572764,11.841449397674621
"(1, 1, 0)","(1, 0, 1, 12)",631.6266265024359,641.2535034914929,14.694796067159112,17.50241427789083,11.838579500319842
"(1, 1, 0)","(1, 1, 0, 12)",574.5404954837971,581.2859812099452,9.533943611913267,13.3294123964024,7.568544397487314
"(1, 1, 0)","(1, 1, 1, 12)",561.8141562979795,570.8081372661769,20.24503814528133,24.35467187337886,16.296478342425427
"(1, 1, 1)","(0, 0, 0, 12)",696.7720420898405,704.3698405693003,22.995136966929817,24.684882101957374,18.880671150469755
"(1, 1, 1)","(0, 0, 1, 12)",620.530887854584,630.1086844732737,23.17470243239163,24.89648728439221,19.026230020012104
"(1, 1, 1)","(0, 1, 0, 12)",674.7013001232049,681.8846475872222,6.1600443044037805,9.285069849987313,4.889699963783076
"(1, 1, 1)","(0, 1, 1, 12)",550.2124295300224,559.1488555484115,15.87961557272049,19.765159996213487,12.715945008423308
"(1, 1, 1)","(1, 0, 0, 12)",627.1586173529691,636.7854943420261,22.840301838078606,24.54045957548996,18.75008106720001
"(1, 1, 1)","(1, 0, 1, 12)",622.444992184789,634.4172379581512,23.28357340133422,25.014124415486442,19.115597590918362
"(1, 1, 1)","(1, 1, 0, 12)",571.216859818061,580.2108407862585,10.324469488169068,14.093648485320818,8.220250683699756
"(1, 1, 1)","(1, 1, 1, 12)",554.3866832015975,565.5572157245838,20.148632596577908,24.25617405936498,16.217517462255966
"(1, 1, 2)","(0, 0, 0, 12)",685.2058828276653,695.2930371358615,20.69399924844934,22.72140908677848,16.910001644655363
"(1, 1, 2)","(0, 0, 1, 12)",609.4563748762557,621.3665080496252,20.81671330073741,22.896897970979996,17.004887012331434
"(1, 1, 2)","(0, 1, 0, 12)",657.4553642892097,666.9834708279052,17.932014388754997,19.305584878827037,14.826075190438878
"(1, 1, 2)","(0, 1, 1, 12)",536.6148966251247,547.7124351510053,22.008678694840768,25.02535380141419,17.884970319014716
"(1, 1, 2)","(1, 0, 0, 12)",622.4841625361406,634.5177587724619,20.576364271334683,22.63512255749796,16.807650832174684
"(1, 1, 2)","(1, 0, 1, 12)",611.3814312829002,625.6735910909434,21.028971163020202,23.116275725250695,17.18056275146762
"(1, 1, 2)","(1, 1, 0, 12)",564.0798354895942,575.322311699841,12.525991385221118,15.83124499114182,10.062950159923428
"(1, 1, 2)","(1, 1, 1, 12)",540.6150515439128,553.9320977749695,25.098525855383432,28.606110549706056,20.38526618172075
"(2, 0, 0)","(0, 0, 0, 12)",708.7335422806932,716.3634266275033,18.317506741087826,20.29685841165466,14.94855594635679
"(2, 0, 0)","(0, 0, 1, 12)",638.0307285484676,647.7060909796539,19.39551270541739,21.342784753511136,15.8548687905015
"(2, 0, 0)","(0, 1, 0, 12)",669.2233104727176,676.4434682145103,18.593552247639106,19.984142524380534,15.37642907641146
"(2, 0, 0)","(0, 1, 1, 12)",556.2229743075378,565.273693815703,22.80655197537098,25.582312920372193,18.579134580700227
"(2, 0, 0)","(1, 0, 0, 12)",631.3791110520458,641.0059880411028,19.231257203869202,21.217458017541286,15.711416723174878
