anio,indicador,tamano_empresa,valor
2016,M.1.9.B % de empresas cuyas ventas mediante mensajes tipo EDI son >= 2% ventas totales,total,5.4
2016,M.1.9.C % de empresas cuyas ventas mediante mensajes tipo EDI son >= 5% ventas totales,total,4.62
2016,M.1.9.D % de empresas cuyas ventas mediante mensajes tipo EDI son >= 10% ventas totales,total,4.51
2016,M.1.9.E % de empresas cuyas ventas mediante mensajes tipo EDI son >= 25% ventas totales,total,2.96
2016,M.1.9.F % de empresas cuyas ventas mediante mensajes tipo EDI son >= 50% ventas totales,total,1.72
2016,M.1.9.G ventas mediante mensajes tipo EDI (miles de euros),total,4307123.44
2016,M.1.9.H % ventas mediante mensajes tipo EDI sobre el total de ventas,total,6.7
2016,M.1.9.I % ventas mediante mensajes tipo EDI sobre el total de ventas de las empresas que venden por mensajes tipo EDI,total,38.28
2016,M.1.10.A Distribución de ventas mediante EDI realizadas a otras empresas (B2B) (4),total,99.99
2016,M.1.10.B Distribución de ventas mediante EDI realizadas a la Administración Pública (B2G) (4),total,0.01
2016,M.1.11.A Distribución de ventas mediante mensajes tipo EDI por área geográfica: España(4),total,52.95
2016,M.1.11.B Distribución de ventas mediante mensajes tipo EDI por área geográfica: Otros países de la UE(4)(1),total,41.61
2016,M.1.11.C Distribución de ventas mediante mensajes tipo EDI por área geográfica: Resto de países (4),total,5.44
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,14.83
2016,M.1.A % de empresas cuyas ventas por comercio electrónico son >= 1% ventas totales,total,13.69
2016,M.1.B % de empresas cuyas ventas por comercio electrónico son >= 2% ventas totales,total,12.46
2016,M.1.C % de empresas cuyas ventas por comercio electrónico son >= 5% ventas totales,total,11.55
2016,M.1.D % de empresas cuyas ventas por comercio electrónico son >= 10% ventas totales,total,10.39
2016,M.1.E % de empresas cuyas ventas por comercio electrónico son >= 25% ventas totales,total,6.31
2016,M.1.F % de empresas cuyas ventas por comercio electrónico son >= 50% ventas totales,total,3.96
