timestamp,grupo_edad,sexo,freq_compra_anual,canal_compra_moda,gasto_mensual_moda,rrss_habituales,marcas_ve_frecuencia_rrss,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,rs_influyen_compra,ha_comprado_por_ver_en_rrss,descubre_marcas_por_rrss,contenido_moda_aumenta_ganas,compra_por_repeticion_rrss,rrss_mas_que_publicidad,atraen_prendas_de_moda,compra_impulso,influye_prueba_social,interes_productos_virales,rrss_aceleran_tendencias,rrss_favorecen_consumo_rapido,ha_comprado_y_apenas_usado,confia_influencers,autenticidad_influencer_compra,influencers_interes_comercial,compra_ult_6m_por_rrss,freq_compra_por_rrss_6m,marcas_que_mas_influyen_compra_rrss,satisfaccion_compra_rrss,arrepentimiento_compra_rrss,seguira_comprando_influido_rrss,recomendaria_productos_descubiertos_rrss,id_respuesta,compra_ult_6m_por_rrss_bin,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento,target_recomendaria_bin,target_seguira_comprando_bin
2026-03-15 22:07:25,18 - 28 años,Hombre,3,5,Menos de 30€,YouTube,Otra,2,3,2,2,1,4,2,2,4,2,1,1,1,5,5,1,3,4,5,Sí,1.0,Otra,4,1,3,4,39,1,2.6,1.4,3.5,5.0,5.0,3.6666666666666665,1.0,1.0,0.0
2026-03-15 22:09:08,18 - 28 años,Mujer,1,3,Menos de 30€,Instagram;TikTok;Pinterest,Shein;Otra,4,2,3,4,3,3,5,1,5,3,2,2,2,5,5,2,3,4,4,No,1.0,Zara;Shein,2,3,3,3,40,0,4.0,2.0,3.5,4.0,5.0,2.6666666666666665,2.5,0.0,0.0
2026-03-15 22:16:30,56 años o más,Mujer,2,5,Menos de 30€,YouTube;Facebook,No me fijo en marcas concretas,1,2,1,1,1,1,3,1,1,3,4,3,1,3,5,1,1,3,5,No,,Ninguna,1,5,1,1,41,0,1.4,2.4,2.0,5.0,4.0,1.0,3.0,0.0,0.0
2026-03-15 22:19:34,45 - 55 años,Hombre,1,5,61 - 100€,Instagram,Zara;Mango;Massimo Dutti,1,1,1,1,1,1,1,1,1,2,2,1,1,3,4,1,1,1,1,No,,Massimo Dutti,1,2,1,1,42,0,1.0,1.4,1.0,1.0,3.5,1.0,1.5,0.0,0.0
2026-03-15 22:25:16,18 - 28 años,Mujer,5,2,61 - 100€,Instagram;TikTok;Facebook,H&M;Otra,2,4,4,4,4,5,5,4,3,4,5,4,4,4,4,4,4,4,5,Sí,2.0,Zara;Otra,3,5,4,4,43,1,4.2,4.2,4.0,5.0,4.0,3.6666666666666665,4.5,1.0,1.0
2026-03-15 22:27:19,18 - 28 años,Mujer,3,4,30 - 60€,Instagram;TikTok;Pinterest;X (Twitter),Zara;Shein;Otra,3,3,3,3,4,4,5,4,5,4,3,3,4,5,5,4,3,3,5,Sí,3.0,Zara;Shein;Otra,3,5,4,3,44,1,4.2,3.6,3.0,5.0,5.0,3.333333333333333,4.5,0.0,1.0
2026-03-15 22:28:54,18 - 28 años,Mujer,3,1,30 - 60€,Instagram;YouTube,Zara;Mango;H&M,1,4,4,4,4,4,4,5,5,4,3,2,3,5,5,1,3,4,4,Sí,3.0,Zara;Mango;H&M,5,1,4,4,45,1,4.2,3.4,3.5,4.0,5.0,4.333333333333333,1.0,1.0,1.0
2026-03-15 22:31:50,18 - 28 años,Mujer,5,3,61 - 100€,Instagram;TikTok;YouTube;Pinterest,Zara;Shein;Otra,4,4,4,4,4,4,4,1,4,4,1,2,2,4,4,1,4,5,2,Sí,3.0,Zara;Shein;Otra,4,1,5,5,46,1,4.0,2.0,4.5,2.0,4.0,4.666666666666667,1.0,1.0,1.0
2026-03-15 22:32:33,56 años o más,Mujer,3,5,Menos de 30€,Instagram;YouTube;Facebook;X (Twitter),Otra,3,3,2,1,1,5,1,1,1,3,1,1,1,3,4,1,1,1,5,No,,Ninguna,1,1,1,1,47,0,1.8,1.4,1.0,5.0,3.5,1.0,1.0,0.0,0.0
2026-03-15 22:35:19,18 - 28 años,Mujer,4,4,Menos de 30€,Instagram,Zara,4,3,1,1,1,4,3,1,3,2,4,3,1,5,5,1,1,1,5,No,,Ninguna,1,1,1,2,48,0,2.4,2.2,1.0,5.0,5.0,1.3333333333333333,1.0,0.0,0.0
2026-03-15 22:37:28,56 años o más,Hombre,2,5,30 - 60€,Instagram;Facebook,Otra,3,2,5,3,1,1,1,1,3,4,5,2,1,5,4,1,4,4,3,No,,Otra,4,1,1,3,49,0,1.8,2.6,4.0,3.0,4.5,2.6666666666666665,1.0,0.0,0.0
2026-03-15 22:40:09,29 - 44 años,Mujer,3,2,Menos de 30€,Instagram;TikTok,Otra,2,2,3,5,5,5,5,2,4,3,2,4,2,5,5,5,3,4,4,Sí,4.0,Zara;Massimo Dutti;Otra,4,3,4,4,50,1,4.8,2.6,3.5,4.0,5.0,4.0,4.0,1.0,1.0
